T:3.236999e+00 E:4.592653e+03 P:4.438896e+01 r2:3.964615e-02
T:3.236011e+00 E:4.592682e+03 P:4.439518e+01 r2:4.030707e-02
T:3.234834e+00 E:4.592674e+03 P:4.440328e+01 r2:4.096620e-02
T:3.233460e+00 E:4.592672e+03 P:4.441320e+01 r2:4.162346e-02
T:3.231886e+00 E:4.592606e+03 P:4.442552e+01 r2:4.227876e-02
T:3.230110e+00 E:4.592606e+03 P:4.443901e+01 r2:4.293202e-02
T:3.228133e+00 E:4.592630e+03 P:4.445275e+01 r2:4.358315e-02
T:3.225963e+00 E:4.592632e+03 P:4.446791e+01 r2:4.423209e-02
T:3.223613e+00 E:4.592631e+03 P:4.448477e+01 r2:4.487874e-02
T:3.221102e+00 E:4.592642e+03 P:4.450253e+01 r2:4.552304e-02
T:3.218455e+00 E:4.592626e+03 P:4.452124e+01 r2:4.616490e-02
T:3.215704e+00 E:4.592633e+03 P:4.454035e+01 r2:4.680427e-02
T:3.212891e+00 E:4.592646e+03 P:4.455963e+01 r2:4.744106e-02
T:3.210067e+00 E:4.592637e+03 P:4.457923e+01 r2:4.807521e-02
T:3.207293e+00 E:4.592646e+03 P:4.459801e+01 r2:4.870665e-02
T:3.204639e+00 E:4.592669e+03 P:4.461516e+01 r2:4.933533e-02
T:3.202189e+00 E:4.592676e+03 P:4.463103e+01 r2:4.996119e-02
T:3.200031e+00 E:4.592699e+03 P:4.464453e+01 r2:5.058418e-02
T:3.198260e+00 E:4.592718e+03 P:4.465514e+01 r2:5.120426e-02
T:3.196970e+00 E:4.592737e+03 P:4.466225e+01 r2:5.182141e-02
T:3.196249e+00 E:4.592738e+03 P:4.466529e+01 r2:5.243559e-02
T:3.196171e+00 E:4.592766e+03 P:4.466433e+01 r2:5.304682e-02
T:3.196795e+00 E:4.592757e+03 P:4.465848e+01 r2:5.365509e-02
T:3.198156e+00 E:4.592779e+03 P:4.464723e+01 r2:5.426044e-02
T:3.200264e+00 E:4.592748e+03 P:4.462989e+01 r2:5.486292e-02
T:3.203104e+00 E:4.592758e+03 P:4.460700e+01 r2:5.546258e-02
T:3.206636e+00 E:4.592751e+03 P:4.457962e+01 r2:5.605950e-02
T:3.210799e+00 E:4.592717e+03 P:4.454743e+01 r2:5.665378e-02
T:3.215517e+00 E:4.592701e+03 P:4.451130e+01 r2:5.724554e-02
T:3.220698e+00 E:4.592673e+03 P:4.447230e+01 r2:5.783489e-02
T:3.226242e+00 E:4.592650e+03 P:4.443106e+01 r2:5.842198e-02
T:3.232040e+00 E:4.592612e+03 P:4.438865e+01 r2:5.900695e-02
T:3.237976e+00 E:4.592578e+03 P:4.434432e+01 r2:5.958995e-02
T:3.243930e+00 E:4.592588e+03 P:4.429918e+01 r2:6.017115e-02
T:3.249776e+00 E:4.592566e+03 P:4.425461e+01 r2:6.075072e-02
T:3.255392e+00 E:4.592569e+03 P:4.421187e+01 r2:6.132881e-02
T:3.260659e+00 E:4.592559e+03 P:4.417122e+01 r2:6.190560e-02
T:3.265469e+00 E:4.592521e+03 P:4.413422e+01 r2:6.248124e-02
T:3.269728e+00 E:4.592502e+03 P:4.410206e+01 r2:6.305588e-02
T:3.273360e+00 E:4.592489e+03 P:4.407450e+01 r2:6.362967e-02
T:3.276308e+00 E:4.592491e+03 P:4.405268e+01 r2:6.420272e-02
T:3.278530e+00 E:4.592475e+03 P:4.403634e+01 r2:6.477517e-02
T:3.280004e+00 E:4.592465e+03 P:4.402611e+01 r2:6.534710e-02
T:3.280719e+00 E:4.592466e+03 P:4.402167e+01 r2:6.591861e-02
T:3.280673e+00 E:4.592469e+03 P:4.402325e+01 r2:6.648976e-02
T:3.279877e+00 E:4.592495e+03 P:4.403064e+01 r2:6.706061e-02
T:3.278347e+00 E:4.592497e+03 P:4.404357e+01 r2:6.763120e-02
T:3.276104e+00 E:4.592521e+03 P:4.406196e+01 r2:6.820156e-02
T:3.273180e+00 E:4.592527e+03 P:4.408534e+01 r2:6.877168e-02
T:3.269613e+00 E:4.592524e+03 P:4.411361e+01 r2:6.934157e-02
T:3.265450e+00 E:4.592544e+03 P:4.414604e+01 r2:6.991120e-02
T:3.260749e+00 E:4.592539e+03 P:4.418235e+01 r2:7.048053e-02
T:3.255579e+00 E:4.592577e+03 P:4.422215e+01 r2:7.104953e-02
T:3.250020e+00 E:4.592566e+03 P:4.426494e+01 r2:7.161812e-02
T:3.244162e+00 E:4.592594e+03 P:4.430939e+01 r2:7.218623e-02
T:3.238103e+00 E:4.592575e+03 P:4.435508e+01 r2:7.275378e-02
T:3.231947e+00 E:4.592552e+03 P:4.440220e+01 r2:7.332069e-02
T:3.225798e+00 E:4.592580e+03 P:4.444912e+01 r2:7.388686e-02
T:3.219758e+00 E:4.592597e+03 P:4.449500e+01 r2:7.445222e-02
T:3.213921e+00 E:4.592611e+03 P:4.453930e+01 r2:7.501666e-02
T:3.208371e+00 E:4.592667e+03 P:4.458224e+01 r2:7.558010e-02
T:3.203174e+00 E:4.592675e+03 P:4.462349e+01 r2:7.614247e-02
T:3.198380e+00 E:4.592630e+03 P:4.466352e+01 r2:7.670370e-02
T:3.194024e+00 E:4.592622e+03 P:4.469941e+01 r2:7.726374e-02
T:3.190120e+00 E:4.592628e+03 P:4.473183e+01 r2:7.782253e-02
T:3.186671e+00 E:4.592624e+03 P:4.476132e+01 r2:7.838004e-02
T:3.183666e+00 E:4.592634e+03 P:4.478756e+01 r2:7.893624e-02
T:3.181089e+00 E:4.592618e+03 P:4.481131e+01 r2:7.949112e-02
T:3.178915e+00 E:4.592611e+03 P:4.483208e+01 r2:8.004466e-02
T:3.177117e+00 E:4.592587e+03 P:4.485039e+01 r2:8.059687e-02
T:3.175667e+00 E:4.592612e+03 P:4.486619e+01 r2:8.114774e-02
T:3.174534e+00 E:4.592618e+03 P:4.488022e+01 r2:8.169730e-02
T:3.173690e+00 E:4.592597e+03 P:4.489227e+01 r2:8.224555e-02
T:3.173103e+00 E:4.592591e+03 P:4.490245e+01 r2:8.279251e-02
T:3.172743e+00 E:4.592585e+03 P:4.490914e+01 r2:8.333821e-02
T:3.172577e+00 E:4.592569e+03 P:4.491362e+01 r2:8.388268e-02
T:3.172569e+00 E:4.592572e+03 P:4.491596e+01 r2:8.442594e-02
T:3.172681e+00 E:4.592563e+03 P:4.491688e+01 r2:8.496804e-02
